[INFO] 2025-08-19 08:09:37,338 basehttp 16556 14736 "GET /static/webapp/images/slide_badroom.png HTTP/1.1" 200 2378515
[INFO] 2025-08-19 08:09:37,343 basehttp 16556 15252 "GET /static/webapp/images/house_slide.png HTTP/1.1" 200 2736227
[INFO] 2025-08-19 08:09:42,776 basehttp 16556 15252 "GET /static/webapp/images/favicon.svg HTTP/1.1" 200 447
[INFO] 2025-08-19 08:09:47,490 basehttp 16556 15252 "POST /send-consultation-message/ HTTP/1.1" 200 87
[INFO] 2025-08-19 08:10:15,427 basehttp 16556 15252 "GET /sale/novopolock_drujby3/ HTTP/1.1" 200 15085
[INFO] 2025-08-19 08:10:15,477 basehttp 16556 15252 "GET /static/webapp/js/modal_window.js HTTP/1.1" 304 0
[INFO] 2025-08-19 08:13:48,275 basehttp 16556 15252 "GET /sale/novopolock_drujby3/ HTTP/1.1" 200 16511
[INFO] 2025-08-19 08:13:48,321 basehttp 16556 11676 "GET /static/webapp/js/slider.js HTTP/1.1" 200 5707
[INFO] 2025-08-19 08:13:48,321 basehttp 16556 13696 "GET /static/webapp/js/burger_mobile.js HTTP/1.1" 200 3081
[INFO] 2025-08-19 08:13:48,322 basehttp 16556 6716 "GET /static/webapp/js/filter_rent.js HTTP/1.1" 200 1220
[INFO] 2025-08-19 08:13:48,322 basehttp 16556 14736 "GET /static/webapp/images/logo_kvatera.png HTTP/1.1" 200 5827
[INFO] 2025-08-19 08:13:48,324 basehttp 16556 15252 "GET /static/webapp/css/style.css HTTP/1.1" 200 53285
[INFO] 2025-08-19 08:13:48,326 basehttp 16556 15588 "GET /media/property_photos/kvatera214_np_drujby3.jpg HTTP/1.1" 200 256900
[INFO] 2025-08-19 08:13:48,328 basehttp 16556 13696 "GET /static/webapp/js/modal_window.js HTTP/1.1" 200 2072
[INFO] 2025-08-19 08:13:48,711 basehttp 16556 13696 "GET /static/webapp/images/favicon.svg HTTP/1.1" 200 447
[INFO] 2025-08-19 08:16:14,682 basehttp 16556 13696 "GET /sale/novopolock_drujby3/ HTTP/1.1" 200 18958
[INFO] 2025-08-19 08:16:14,732 basehttp 16556 15252 "GET /static/webapp/js/slider.js HTTP/1.1" 200 5707
[INFO] 2025-08-19 08:16:14,733 basehttp 16556 6716 "GET /static/webapp/js/filter_rent.js HTTP/1.1" 200 1220
[INFO] 2025-08-19 08:16:14,734 basehttp 16556 11676 "GET /static/webapp/js/burger_mobile.js HTTP/1.1" 200 3081
[INFO] 2025-08-19 08:16:14,735 basehttp 16556 15588 "GET /static/webapp/images/logo_kvatera.png HTTP/1.1" 200 5827
[INFO] 2025-08-19 08:16:14,736 basehttp 16556 13696 "GET /static/webapp/css/style.css HTTP/1.1" 200 53285
[INFO] 2025-08-19 08:16:14,740 basehttp 16556 14736 "GET /media/property_photos/kvatera214_np_drujby3.jpg HTTP/1.1" 200 256900
[INFO] 2025-08-19 08:16:14,742 basehttp 16556 6716 "GET /static/webapp/js/modal_window.js HTTP/1.1" 200 2072
[INFO] 2025-08-19 08:16:14,991 basehttp 16556 6716 "GET /static/webapp/images/favicon.svg HTTP/1.1" 200 447
[INFO] 2025-08-19 08:16:27,780 basehttp 16556 14736 "POST /send-consultation-message/ HTTP/1.1" 200 87
[INFO] 2025-08-19 08:16:27,796 basehttp 16556 6716 "POST /send-consultation-message/ HTTP/1.1" 200 87
[INFO] 2025-08-19 08:16:45,966 basehttp 16556 6716 "GET / HTTP/1.1" 200 29562
[INFO] 2025-08-19 08:16:48,938 basehttp 16556 6716 "GET /rent HTTP/1.1" 200 13330
[INFO] 2025-08-19 08:16:52,290 basehttp 16556 6716 "GET /rent/polock-mira6b/ HTTP/1.1" 200 17151
[INFO] 2025-08-19 08:16:59,488 basehttp 16556 6716 "GET /sale HTTP/1.1" 200 16757
[INFO] 2025-08-19 08:17:01,002 basehttp 16556 6716 "GET /sale/polock-alekseeva/ HTTP/1.1" 200 18449
[INFO] 2025-08-19 08:17:51,280 basehttp 16556 6716 "GET / HTTP/1.1" 200 29562
[INFO] 2025-08-19 08:17:51,359 basehttp 16556 6716 "GET /static/webapp/js/modal_window.js HTTP/1.1" 304 0
[INFO] 2025-08-19 08:18:42,645 basehttp 16556 6716 "GET / HTTP/1.1" 200 29562
[INFO] 2025-08-19 08:18:47,445 basehttp 16556 6716 "GET /rent HTTP/1.1" 200 13330
[INFO] 2025-08-19 08:18:49,617 basehttp 16556 6716 "GET /rent/polock-mira6b/ HTTP/1.1" 200 20310
[INFO] 2025-08-19 08:18:59,843 basehttp 16556 6716 "POST /send-consultation-message/ HTTP/1.1" 200 87
[INFO] 2025-08-19 08:18:59,855 basehttp 16556 14736 "POST /send-consultation-message/ HTTP/1.1" 200 87
[INFO] 2025-08-19 08:19:27,590 basehttp 16556 6716 "POST /send-consultation-message/ HTTP/1.1" 200 87
[INFO] 2025-08-19 08:19:27,624 basehttp 16556 14736 "POST /send-consultation-message/ HTTP/1.1" 200 87
[INFO] 2025-08-19 08:19:36,316 basehttp 16556 14736 "GET /sale HTTP/1.1" 200 16757
[INFO] 2025-08-19 08:19:36,359 basehttp 16556 14736 "GET /static/webapp/css/style.css HTTP/1.1" 304 0
[INFO] 2025-08-19 08:19:36,366 basehttp 16556 14736 "GET /static/webapp/js/modal_window.js HTTP/1.1" 304 0
[INFO] 2025-08-19 08:19:38,120 basehttp 16556 14736 "GET /sale/polock-alekseeva/ HTTP/1.1" 200 18449
[INFO] 2025-08-19 08:19:50,626 basehttp 16556 14736 "POST /send-consultation-message/ HTTP/1.1" 200 87
[INFO] 2025-08-19 08:19:50,650 basehttp 16556 6716 "POST /send-consultation-message/ HTTP/1.1" 200 87
[INFO] 2025-08-19 08:21:20,825 basehttp 16556 6716 "GET /rent HTTP/1.1" 200 13330
[INFO] 2025-08-19 08:21:20,875 basehttp 16556 6716 "GET /static/webapp/js/modal_window.js HTTP/1.1" 304 0
[INFO] 2025-08-19 08:21:22,876 basehttp 16556 6716 "GET /rent/kalinina5/ HTTP/1.1" 200 19174
[INFO] 2025-08-19 08:34:33,434 basehttp 16556 17644 "GET /sale HTTP/1.1" 200 16757
[INFO] 2025-08-19 08:34:33,464 basehttp 16556 17644 "GET /static/webapp/css/style.css HTTP/1.1" 304 0
[INFO] 2025-08-19 08:34:33,478 basehttp 16556 17644 "GET /static/webapp/js/modal_window.js HTTP/1.1" 304 0
[INFO] 2025-08-19 08:34:35,580 basehttp 16556 17644 "GET /sale/polock-alekseeva/ HTTP/1.1" 200 15706
[INFO] 2025-08-19 08:34:56,193 basehttp 16556 17644 "GET /sale/polock-alekseeva/ HTTP/1.1" 200 18449
[INFO] 2025-08-19 08:34:56,233 basehttp 16556 14020 "GET /static/webapp/images/logo_kvatera.png HTTP/1.1" 200 5827
[INFO] 2025-08-19 08:34:56,233 basehttp 16556 17644 "GET /static/webapp/css/style.css HTTP/1.1" 200 53285
[INFO] 2025-08-19 08:34:56,234 basehttp 16556 17072 "GET /static/webapp/js/slider.js HTTP/1.1" 200 5707
[INFO] 2025-08-19 08:34:56,235 basehttp 16556 7684 "GET /static/webapp/js/filter_rent.js HTTP/1.1" 200 1220
[INFO] 2025-08-19 08:34:56,236 basehttp 16556 16328 "GET /static/webapp/js/burger_mobile.js HTTP/1.1" 200 3081
[INFO] 2025-08-19 08:34:56,240 basehttp 16556 14020 "GET /static/webapp/js/modal_window.js HTTP/1.1" 200 2072
[INFO] 2025-08-19 08:34:56,241 basehttp 16556 16624 "GET /media/property_photos/kvatera_polock_house.jpg HTTP/1.1" 200 412942
[INFO] 2025-08-19 08:34:56,578 basehttp 16556 16624 "GET /static/webapp/images/favicon.svg HTTP/1.1" 200 447
[INFO] 2025-08-19 08:35:09,219 basehttp 16556 16624 "GET /sale/polock-alekseeva/ HTTP/1.1" 200 15985
[INFO] 2025-08-19 08:35:09,265 basehttp 16556 17072 "GET /static/webapp/js/filter_rent.js HTTP/1.1" 200 1220
[INFO] 2025-08-19 08:35:09,265 basehttp 16556 17644 "GET /static/webapp/js/burger_mobile.js HTTP/1.1" 200 3081
[INFO] 2025-08-19 08:35:09,266 basehttp 16556 7684 "GET /static/webapp/js/slider.js HTTP/1.1" 200 5707
[INFO] 2025-08-19 08:35:09,266 basehttp 16556 14020 "GET /static/webapp/images/logo_kvatera.png HTTP/1.1" 200 5827
[INFO] 2025-08-19 08:35:09,268 basehttp 16556 16624 "GET /static/webapp/css/style.css HTTP/1.1" 200 53285
[INFO] 2025-08-19 08:35:09,271 basehttp 16556 17644 "GET /static/webapp/js/modal_window.js HTTP/1.1" 200 2072
[INFO] 2025-08-19 08:35:09,273 basehttp 16556 16328 "GET /media/property_photos/kvatera_polock_house.jpg HTTP/1.1" 200 412942
[INFO] 2025-08-19 08:35:09,470 basehttp 16556 16328 "GET /static/webapp/images/favicon.svg HTTP/1.1" 200 447
[INFO] 2025-08-19 08:35:21,244 basehttp 16556 16328 "POST /send-consultation-message/ HTTP/1.1" 200 87
[INFO] 2025-08-19 08:36:38,779 basehttp 16556 16328 "GET /rent HTTP/1.1" 200 13330
[INFO] 2025-08-19 08:36:40,464 basehttp 16556 16328 "GET /rent/kalinina5/ HTTP/1.1" 200 17055
[INFO] 2025-08-19 08:36:52,768 basehttp 16556 16328 "POST /send-consultation-message/ HTTP/1.1" 200 87
